,year,crop_name,county,harvested_acres,production,yield,key_crop_name
843,2014,GARLIC ALL,Santa Clara,638.0,4020.0,6.3,Garlic
844,2014,GARLIC ALL,Sum of Others,502.0,3742.0,7.45,Garlic
860,2014,GRAPEFRUIT ALL,Imperial,1340.0,4070.0,3.04,No Match
861,2014,GRAPEFRUIT ALL,Kern,864.0,13300.0,15.39,No Match
862,2014,GRAPEFRUIT ALL,Riverside,4780.0,70300.0,14.71,No Match
863,2014,GRAPEFRUIT ALL,San Bernardino,315.0,370.0,1.17,No Match
864,2014,GRAPEFRUIT ALL,San Diego,1540.0,26600.0,17.27,No Match
865,2014,GRAPEFRUIT ALL,Tulare,2240.0,24400.0,10.89,No Match
866,2014,GRAPEFRUIT ALL,Ventura,100.0,293.0,2.93,No Match
867,2014,GRAPEFRUIT ALL,Sum of Others,2.0,15.0,7.5,No Match
869,2014,GRAPES RAISIN,Fresno,133000.0,1152000.0,8.66,Grapes
870,2014,GRAPES RAISIN,Kern,16800.0,238000.0,14.17,Grapes
871,2014,GRAPES RAISIN,Kings,2050.0,21800.0,10.63,Grapes
872,2014,GRAPES RAISIN,Madera,27800.0,358000.0,12.88,Grapes
873,2014,GRAPES RAISIN,Tulare,15200.0,140000.0,9.21,Grapes
874,2014,GRAPES RAISIN,Sum of Others,1990.0,15600.0,7.84,Grapes
876,2014,GRAPES TABLE,Fresno,12500.0,133000.0,10.64,Grapes
877,2014,GRAPES TABLE,Kern,61600.0,791000.0,12.84,Grapes
878,2014,GRAPES TABLE,Kings,848.0,13100.0,15.45,Grapes
879,2014,GRAPES TABLE,Madera,2900.0,27600.0,9.52,Grapes
880,2014,GRAPES TABLE,Riverside,7760.0,60300.0,7.77,Grapes
881,2014,GRAPES TABLE,Tulare,34100.0,441000.0,12.93,Grapes
883,2014,GRAPES UNSPECIFIED,Contra Costa,2190.0,10200.0,4.66,Grapes
884,2014,GRAPES UNSPECIFIED,Glenn,1040.0,6250.0,6.01,Grapes
885,2014,GRAPES UNSPECIFIED,Los Angeles,385.0,1440.0,3.74,Grapes
886,2014,GRAPES UNSPECIFIED,San Bernardino,160.0,144.0,0.9,Grapes
887,2014,GRAPES UNSPECIFIED,Stanislaus,12400.0,115000.0,9.27,Grapes
888,2014,GRAPES UNSPECIFIED,Tehama,121.0,774.0,6.4,Grapes
889,2014,GRAPES UNSPECIFIED,Sum of Others,1187.0,6309.0,5.32,Grapes
891,2014,GRAPES WINE,Alameda,2420.0,10600.0,4.38,Grapes
892,2014,GRAPES WINE,Amador,3900.0,12400.0,3.18,Grapes
893,2014,GRAPES WINE,Calaveras,900.0,1960.0,2.18,Grapes
894,2014,GRAPES WINE,Colusa,2170.0,18000.0,8.29,Grapes
895,2014,GRAPES WINE,El Dorado,2110.0,5340.0,2.53,Grapes
896,2014,GRAPES WINE,Fresno,58700.0,660000.0,11.24,Grapes
897,2014,GRAPES WINE,Kern,27800.0,273000.0,9.82,Grapes
898,2014,GRAPES WINE,Kings,4800.0,57400.0,11.96,Grapes
899,2014,GRAPES WINE,Lake,8070.0,38700.0,4.8,Grapes
900,2014,GRAPES WINE,Madera,40300.0,392000.0,9.73,Grapes
901,2014,GRAPES WINE,Marin,175.0,325.0,1.86,Grapes
902,2014,GRAPES WINE,Mariposa,77.0,59.0,0.77,Grapes
903,2014,GRAPES WINE,Mendocino,16900.0,62000.0,3.67,Grapes
904,2014,GRAPES WINE,Merced,12900.0,111000.0,8.6,Grapes
905,2014,GRAPES WINE,Monterey,46000.0,200000.0,4.35,Grapes
906,2014,GRAPES WINE,Napa,43600.0,176000.0,4.04,Grapes
907,2014,GRAPES WINE,Nevada,342.0,1320.0,3.86,Grapes
908,2014,GRAPES WINE,Placer,212.0,545.0,2.57,Grapes
909,2014,GRAPES WINE,Riverside,2720.0,10700.0,3.93,Grapes
910,2014,GRAPES WINE,Sacramento,30000.0,225000.0,7.5,Grapes
911,2014,GRAPES WINE,San Benito,4470.0,12800.0,2.86,Grapes
912,2014,GRAPES WINE,San Bernardino,270.0,144.0,0.53,Grapes
913,2014,GRAPES WINE,San Diego,923.0,4250.0,4.6,Grapes
914,2014,GRAPES WINE,San Joaquin,102000.0,816000.0,8.0,Grapes
915,2014,GRAPES WINE,San Luis Obispo,37400.0,143000.0,3.82,Grapes
917,2014,GRAPES WINE,Santa Barbara,21100.0,90600.0,4.29,Grapes
918,2014,GRAPES WINE,Santa Clara,1600.0,5640.0,3.53,Grapes
919,2014,GRAPES WINE,Santa Cruz,654.0,1670.0,2.55,Grapes
920,2014,GRAPES WINE,Shasta,160.0,464.0,2.9,Grapes
921,2014,GRAPES WINE,Solano,4380.0,23000.0,5.25,Grapes
922,2014,GRAPES WINE,Sonoma,58300.0,256000.0,4.39,Grapes
923,2014,GRAPES WINE,Tulare,11200.0,179000.0,15.98,Grapes
924,2014,GRAPES WINE,Yolo,12600.0,92800.0,7.37,Grapes
926,2014,GREENS TURNIP & MUSTARD,Ventura,1480.0,21600.0,14.59,Mustard
927,2014,GREENS TURNIP & MUSTARD,Sum of Others,1143.0,3974.0,3.48,Mustard
929,2014,GUAVAS,Sum of Others,2.0,1.0,0.5,No Match
931,2014,HAY ALFALFA,Alameda,524.0,2470.0,4.71,Alfalfa
932,2014,HAY ALFALFA,Amador,451.0,2960.0,6.56,Alfalfa
933,2014,HAY ALFALFA,Butte,1460.0,10200.0,6.99,Alfalfa
934,2014,HAY ALFALFA,Colusa,9520.0,56100.0,5.89,Alfalfa
935,2014,HAY ALFALFA,Contra Costa,3390.0,17400.0,5.13,Alfalfa
936,2014,HAY ALFALFA,Fresno,52200.0,338000.0,6.48,Alfalfa
937,2014,HAY ALFALFA,Glenn,10500.0,60100.0,5.72,Alfalfa
938,2014,HAY ALFALFA,Imperial,122000.0,995000.0,8.16,Alfalfa
939,2014,HAY ALFALFA,Inyo,2420.0,15700.0,6.49,Alfalfa
940,2014,HAY ALFALFA,Kern,109000.0,922000.0,8.46,Alfalfa
941,2014,HAY ALFALFA,Kings,36600.0,299000.0,8.17,Alfalfa
942,2014,HAY ALFALFA,Lassen,28700.0,100000.0,3.48,Alfalfa
943,2014,HAY ALFALFA,Los Angeles,6110.0,49900.0,8.17,Alfalfa
944,2014,HAY ALFALFA,Madera,16000.0,109000.0,6.81,Alfalfa
945,2014,HAY ALFALFA,Merced,84700.0,597000.0,7.05,Alfalfa
946,2014,HAY ALFALFA,Mono,8100.0,52700.0,6.51,Alfalfa
947,2014,HAY ALFALFA,Monterey,140.0,896.0,6.4,Alfalfa
948,2014,HAY ALFALFA,Plumas,6000.0,21000.0,3.5,Alfalfa
949,2014,HAY ALFALFA,Riverside,57700.0,466000.0,8.08,Alfalfa
950,2014,HAY ALFALFA,Sacramento,14200.0,72600.0,5.11,Alfalfa
951,2014,HAY ALFALFA,San Bernardino,7000.0,56000.0,8.0,Alfalfa
952,2014,HAY ALFALFA,San Joaquin,57700.0,421000.0,7.3,Alfalfa
953,2014,HAY ALFALFA,San Luis Obispo,2440.0,14800.0,6.07,Alfalfa
954,2014,HAY ALFALFA,Shasta,3300.0,17200.0,5.21,Alfalfa
955,2014,HAY ALFALFA,Sierra,1200.0,4080.0,3.4,Alfalfa
956,2014,HAY ALFALFA,Siskiyou,43700.0,244000.0,5.58,Alfalfa
957,2014,HAY ALFALFA,Solano,30700.0,180000.0,5.86,Alfalfa
958,2014,HAY ALFALFA,Stanislaus,29200.0,207000.0,7.09,Alfalfa
959,2014,HAY ALFALFA,Sutter,5670.0,39800.0,7.02,Alfalfa
960,2014,HAY ALFALFA,Tehama,1180.0,7810.0,6.62,Alfalfa
961,2014,HAY ALFALFA,Tulare,60000.0,612000.0,10.2,Alfalfa
962,2014,HAY ALFALFA,Yolo,37100.0,223000.0,6.01,Alfalfa
963,2014,HAY ALFALFA,Yuba,678.0,4520.0,6.67,Alfalfa
964,2014,HAY ALFALFA,Sum of Others,96.0,954.0,9.94,Alfalfa
967,2014,HAY GRAIN,Calaveras,200.0,600.0,3.0,No Match
968,2014,HAY GRAIN,Colusa,4900.0,15700.0,3.2,No Match
969,2014,HAY GRAIN,Contra Costa,3170.0,8520.0,2.69,No Match
970,2014,HAY GRAIN,Fresno,9190.0,37400.0,4.07,No Match
971,2014,HAY GRAIN,Kern,9210.0,47800.0,5.19,No Match
972,2014,HAY GRAIN,Kings,1630.0,6270.0,3.85,No Match
973,2014,HAY GRAIN,Lassen,8350.0,21700.0,2.6,No Match
974,2014,HAY GRAIN,Los Angeles,3300.0,9900.0,3.0,No Match
975,2014,HAY GRAIN,Madera,800.0,2820.0,3.53,No Match
976,2014,HAY GRAIN,Merced,39200.0,124000.0,3.16,No Match
